K5F3.PV;K0P125.PV;K5Q2_2.PV;K5FCV4_2I.PV;K5P6.PV;K5PCV6I.PV;K5PCV17_1I.PV;K5P17_1.PV;K5PCV17_2I.PV;K5P17_2.PV;K5T20.PV;K5P110.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5HCV60I.PV;K5P16_1.PV;K5GKAL.PV;K5HCV61I.PV;K5P16_2.PV;K5FCV4_1I.PV;K5Q2_1.PV;K5P4_1.PV;K5PC5CH.OP;K5PCV5I.PV;K5T4.PV;K5P21.PV;K5T18_2.PV;K5T7.PV;K5P19_2.PV;K5P19_1.PV;K5PC6CH.OP;K5HCV63I.PV;K5T9_1.PV;K5T9_2.PV;K5T8_1.PV;K5T8_2.PV;K5T8_3.PV;K5PCV6I.PV;K5T10_1.PV;K5T10_2.PV;K5P18_1.PV;K5P18_2.PV;K5P23.PV;K5P24.PV;K5P20.PV;K5T5_1.PV;K5T5_2.PV;K5T18_1.PV;K5T8_4.PV;K5T8_5.PV;K5T8_6.PV
2977.827;67.44596;494.0474;9.330159;1.653008;95.0153;70.45521;10.31721;98.21707;10.09668;-20.78302;63.71249;39.37015;169.4834;4.064949;98.99425;1.11733;21.16503;98.13794;1.242958;10.39307;519.8514;19.37961;50.47416;95.58419;131.3306;-508.8642;98.88358;40.1608;-212.6788;-272.8607;62.29572;95.62699;22.90881;24.77688;53.33409;65.86002;113.483;95.0153;91.09779;103.6079;-75.02075;-84.34444;1.298635;1.424265;-724.3501;614.5725;748.4112;248.8402;104.8376;113.1416;164.9
2927.134;66.87718;506.2909;9.489755;1.680137;95.56659;70.7484;10.31665;98.50018;10.09504;-9.83599;63.07931;39.77588;171.2062;4.067364;99.05492;1.13907;20.65832;98.14281;1.260067;10.45501;533.2946;19.49968;52.43256;96.24587;132.6989;-508.6351;96.20809;41.97145;-215.9105;-276.2386;63.50603;96.87322;23.10803;23.27638;57.01526;68.00761;115.3624;95.56659;47.29745;104.4599;-75.24079;-83.30565;1.315201;1.443824;-724.7084;610.7068;741.5828;248.9852;107.3554;115.3896;166.7137
2900.535;66.75259;1034.681;6.94269;1.681726;95.65205;71.29128;10.3963;98.71431;10.15954;-3.040106;63.60427;39.65128;171.6657;4.042192;97.6129;1.155494;20.28954;97.99042;1.260738;12.06088;1063.586;19.66605;53.25539;96.82864;132.8387;-499.6873;92.28172;44.41206;-223.1017;-281.6704;64.08926;97.47414;22.85881;21.81877;60.26996;69.64595;115.9206;95.65205;61.15227;102.4935;-76.50516;-80.85193;1.28583;1.444966;-725.3846;607.5529;737.7582;248.1174;109.3481;117.1371;167.3322
2890.979;66.65165;1634.318;9.949176;1.680142;95.75198;71.19357;10.28254;98.86819;10.05653;-3.08771;63.17867;39.66401;172.1443;4.047513;99.06699;1.15033;20.36385;98.0851;1.259224;10.5422;1775.587;19.49556;52.99632;96.77605;133.9702;-501.2698;92.75892;45.53771;-221.418;-280.9921;63.97196;97.48583;24.60325;25.38022;61.09479;70.9757;117.1209;95.75198;21.58577;104.7029;-75.59874;-81.47894;1.294286;1.443027;-725.3129;607.7937;737.0858;248.4443;109.8913;117.5873;167.744
2885.439;66.53733;3242.385;6.283673;1.680123;95.80904;71.31487;10.29115;98.72354;10.05957;-2.884316;63.2279;39.64339;172.3372;4.043319;97.74495;1.155856;20.17139;98.01198;1.259922;12.7437;3434.64;19.49788;53.06498;96.77106;134.4359;-498.994;95.04833;46.67839;-222.977;-281.8707;64.30648;97.51136;25.64506;24.20627;61.54677;71.58602;117.6767;95.80904;52.59531;104.6744;-75.98601;-80.22286;1.288446;1.443438;-725.4376;606.9885;735.4639;247.8035;110.6853;118.2074;167.9377
2809.635;66.58926;478.805;5.479288;1.478407;95.0667;70.92219;9.554727;98.42439;9.327216;-9.575091;62.9627;38.14972;167.2295;4.071414;97.92341;1.000311;19.89875;97.91879;1.110009;10.36884;486.2339;17.9824;47.11663;95.8811;130.9191;-458.2403;89.96778;43.34533;-229.3889;-286.7434;58.85749;96.66589;23.58215;21.51561;56.96706;66.87045;112.8108;95.0667;87.7432;100.9112;-75.2973;-80.37226;1.141577;1.270534;-745.1625;606.0927;733.9661;241.858;105.7454;112.9801;162.5846
2804.816;66.68513;481.4266;5.381079;1.500175;95.16622;70.90586;9.530596;98.38058;9.303347;-9.273567;62.94697;38.08671;167.9433;4.073233;97.91505;1.015738;19.84652;97.9244;1.126549;10.55823;484.0471;17.99344;47.80204;95.89194;132.1942;-463.5777;90.1197;42.91093;-227.5404;-285.217;59.39884;96.72745;23.04704;21.76439;56.83126;66.70698;113.0207;95.16622;92.0877;101.4007;-75.20317;-80.55037;1.161212;1.290856;-742.8526;605.3478;733.6957;243.298;106.0387;113.42;163.5674
2777.173;67.64766;574.9938;10.73334;1.450187;95.83095;71.1648;9.538129;98.84068;9.310891;-3.677051;64.61774;37.26514;167.1984;4.041081;98.96268;0.986608;19.73975;98.03384;1.086922;10.45993;611.7266;17.99426;48.37173;96.8401;130.5039;-450.3575;91.97198;45.95111;-233.9917;-290.7882;59.27212;97.49612;25.50388;22.47165;59.7047;69.27193;114.484;95.83095;70.08797;102.0315;-74.44878;-78.98567;1.11054;1.244328;-750.1495;603.2587;730.4785;239.443;107.443;114.3497;162.7682
2730.778;66.89584;458.5277;5.345215;1.418568;95.29553;70.8951;9.114283;98.32969;8.892303;-8.851314;63.24626;37.11661;166.2809;4.072107;97.89784;0.9565729;19.31243;97.93996;1.065566;10.61029;463.9162;17.13515;46.26105;95.87956;129.8725;-443.9597;89.31502;41.97807;-231.5619;-288.3802;57.69344;96.79214;22.39144;22.07509;55.81584;65.41809;111.9486;95.29553;93.52634;100.4519;-73.63496;-79.72553;1.099144;1.218998;-751.856;600.2525;726.696;240.3419;104.8785;111.9558;162.0488
2719.188;67.62436;566.7065;10.3939;1.404643;95.50468;71.20603;9.194566;98.88606;8.9655;-3.523817;64.70038;36.6687;165.6033;4.033158;98.86124;0.9553136;19.34192;98.01639;1.053683;10.47215;608.4828;17.29322;47.17307;96.87836;129.2928;-438.9225;89.06949;44.9296;-237.7465;-293.3191;58.16887;97.286;23.8235;22.57331;58.91977;69.04855;113.5092;95.50468;77.51721;100.6086;-74.00901;-78.12349;1.071853;1.204608;-754.9962;599.4615;725.5964;237.9873;106.3069;113.303;161.7437
2689.761;67.77091;575.2316;10.7785;1.326226;95.5734;70.99339;8.92147;98.67213;8.6887;-7.202257;64.70296;36.02682;164.1021;4.037868;98.99245;0.8930236;19.16618;98.03326;0.9946236;10.43879;615.8063;16.59051;45.20169;96.67517;126.4537;-422.7233;90.14834;43.45117;-239.2376;-294.6255;56.43749;97.35173;24.03436;21.96032;56.68121;66.51939;111.6238;95.5734;56.02581;99.87626;-72.25494;-78.30891;1.0207;1.136713;-764.1017;597.4421;723.0702;235.6557;104.308;111.0371;159.6044
2674.899;69.02493;456.3546;9.912379;1.346088;95.59053;70.5126;8.802091;98.34;8.61372;-11.56298;66.25404;35.45544;160.7074;4.026606;99.02571;0.9010729;19.28849;98.06734;1.014424;10.51269;495.318;16.66402;42.90452;96.23633;125.2072;-431.8986;90.16762;40.284;-233.3519;-289.1106;54.88246;96.95016;22.43655;22.32679;52.20815;64.45963;111.0665;95.59053;79.73933;99.6443;-70.88161;-79.34499;1.060635;1.159544;-759.7844;599.4517;719.4431;234.9225;102.5734;109.9054;159.7413
2641.725;67.85277;575.0304;10.7112;1.254193;95.57275;70.93031;8.626503;98.58331;8.398649;-6.985637;64.73539;35.47266;161.6406;4.035214;98.96957;0.8391796;18.84758;98.04043;0.9414347;10.42739;618.5053;16.04244;43.48853;96.61485;123.806;-407.245;88.30469;41.99727;-242.2318;-296.9588;54.65651;97.33384;22.73332;21.5615;54.98484;64.6349;109.6099;95.57275;65.20161;98.26917;-71.27549;-78.08809;0.9667628;1.073742;-771.0084;595.6254;719.2953;232.4434;102.1948;108.8362;157.1005
2601.043;67.52438;435.1781;5.513017;1.249673;95.76263;71.28684;8.446918;98.60781;8.209467;-3.427789;64.62508;35.07307;161.7997;4.029979;97.86069;0.8471119;18.45916;97.995;0.9377703;10.23716;449.8136;15.69363;43.66445;96.39191;127.437;-400.5621;88.77179;45.31879;-246.1424;-300.0032;54.66002;97.42643;24.99864;23.00804;58.15913;67.32925;111.0174;95.76263;62.46776;98.43298;-72.76483;-76.52159;0.9501896;1.071973;-770.8814;595.1594;715.2402;230.5382;104.2902;110.0291;157.2463
2588.087;67.42554;588.205;5.52291;1.307856;95.39085;71.20908;8.443022;98.60942;8.218167;-3.914325;64.65772;35.04053;159.3898;4.025115;97.60453;0.8857931;18.28308;97.99121;0.9808685;10.6613;611.0785;15.84688;45.07667;96.89228;123.5086;-411.0916;86.42978;42.69745;-244.3804;-298.001;56.00072;97.32187;21.96438;21.14713;56.96954;66.20311;110.891;95.39085;67.96628;97.65414;-70.78255;-76.58239;0.9944122;1.121415;-766.2159;590.5095;712.7353;234.4367;104.1135;110.5589;159.4677
2555.345;67.549;419.7515;5.485518;1.19807;95.65887;71.24651;8.180018;98.58051;7.948891;-3.572482;64.66135;34.55958;160.5694;4.027315;97.85937;0.8094472;18.13317;98.0186;0.8991759;10.24599;434.9251;15.21548;42.59916;96.38216;126.2537;-388.2331;87.94794;44.96575;-249.0859;-302.1918;53.53995;97.38544;24.9247;23.28438;57.55648;66.89505;110.1378;95.65887;61.80501;97.69738;-72.58311;-76.41297;0.9097413;1.027023;-776.421;591.8496;710.7166;228.6273;103.3751;108.894;155.8943
2502.082;67.97134;304.3525;9.970403;1.155531;95.70911;70.85853;7.827801;98.52289;7.630862;-8.563046;64.72391;34.00441;158.3549;4.038913;99.08965;0.7718979;17.87385;98.05887;0.8702077;15.48917;1222.544;14.79426;40.27494;96.86331;120.499;-383.8112;84.44536;42.03291;-247.2132;-301.2046;52.11905;97.40008;21.99088;21.95745;54.44944;64.16695;108.5089;95.70911;72.43599;97.2056;-71.48503;-77.27142;0.8917446;0.9933531;-781.3564;591.4104;705.2923;227.0702;100.8256;106.7524;155.0162
2498.646;68.16036;590.4791;10.6716;1.100152;95.72925;70.82893;7.772575;98.52425;7.566168;-6.216889;65.17273;33.78367;157.4927;4.024681;98.95259;0.7312199;17.91973;98.07126;0.8271407;10.425;640.8715;14.49925;39.97833;96.55122;119.8876;-370.4288;85.35666;42.08424;-250.2855;-303.379;51.12699;97.43373;23.06726;22.64375;54.40036;63.45561;107.7033;95.72925;70.10346;96.45912;-69.4165;-76.63219;0.847315;0.9413428;-787.2715;590.0394;706.5898;225.1705;100.1273;106.1444;153.3183
2491.026;68.85508;422.3496;9.942534;1.130473;95.55491;70.5694;7.678723;98.35389;7.504695;-12.79549;66.12521;33.28376;153.8139;4.013313;99.03325;0.7479131;17.94276;98.07685;0.8541868;10.55106;451.5445;14.57613;38.15836;96.20091;117.8929;-377.6329;86.68684;39.19487;-246.8161;-299.9337;50.42628;96.90902;22.08258;22.32408;49.74949;61.59053;105.4577;95.55491;71.71204;95.24959;-69.19103;-77.1293;0.88468;0.9738365;-783.7244;592.5671;703.6173;225.0192;97.84831;103.7297;151.092
2489.323;68.19685;501.0455;9.500132;1.091813;95.16669;70.55342;7.453828;98.33447;7.272481;-15.20852;65.23232;32.92448;156.7951;4.039838;99.03648;0.71573;18.04758;98.07307;0.8240469;10.45685;543.1991;13.93354;37.31076;95.78364;117.9982;-370.5291;85.73611;38.39202;-246.1219;-299.2723;49.57811;95.8858;20.9047;22.54518;48.33924;60.03542;105.2984;95.16669;64.55011;95.05842;-68.59191;-77.77152;0.8557959;0.9384281;-785.4112;593.5137;708.8804;227.4264;96.616;103.2625;151.9617
2483.96;66.89761;437.257;5.626153;1.128559;95.03735;70.95991;7.629625;98.43456;7.421859;-9.041708;63.78165;33.60369;160.0831;4.052347;97.92404;0.7509151;17.69941;97.92855;0.8479918;10.20537;450.4926;14.244;38.96835;95.90747;124.9862;-370.436;86.39276;43.51366;-251.5153;-303.2056;51.34295;96.62595;24.42815;23.55507;54.52388;65.43382;109.5204;95.03735;85.40832;97.39355;-70.32828;-75.9643;0.863307;0.9660742;-784.413;587.9185;704.5169;228.5345;102.2725;107.9089;155.768
2459.861;67.35674;421.3097;5.399663;1.150136;95.2175;70.86111;7.514053;98.27876;7.300005;-8.533557;64.04058;33.5198;159.5497;4.050002;97.85601;0.7639322;17.47862;97.91659;0.8649477;10.5032;434.7739;14.00149;40.32197;95.87243;122.5931;-378.2816;84.13151;41.13577;-247.224;-300.717;52.00129;96.76806;21.958;22.23512;53.50119;63.04897;107.4564;95.2175;88.68904;96.70931;-69.95914;-76.81013;0.8873043;0.986045;-781.8191;584.3914;702.2123;229.4873;100.5706;106.2509;154.9481
2456.49;67.36555;439.2457;5.405364;1.150148;95.26577;70.86299;7.506742;98.28079;7.293717;-7.771561;64.0509;33.43434;159.6259;4.048803;97.86534;0.7638783;17.45961;97.91862;0.8645042;10.48063;453.4651;13.99918;40.4725;95.87304;122.2988;-377.8713;84.51565;41.38131;-247.4934;-300.9548;52.02194;96.84288;22.25324;22.58882;53.77456;63.22472;107.626;95.26577;89.20171;96.88072;-69.56189;-76.79883;0.8875773;0.9872918;-781.9124;584.2496;701.8101;229.4148;100.7485;106.3997;154.9796
2447.842;68.40007;409.8503;9.352029;1.05725;94.77954;70.38052;7.169419;98.19886;6.988933;-21.67128;65.45197;32.20294;155.5135;4.027054;98.96143;0.6906462;17.71073;98.14853;0.7980261;10.40469;451.4901;13.41848;36.1285;95.60097;117.6685;-363.6852;89.49908;37.47694;-248.5789;-300.4068;49.13676;95.34827;21.30447;22.36293;46.82935;60.50723;105.2511;94.77954;78.64793;95.17949;-67.98924;-77.94826;0.8248007;0.9081611;-790.2327;590.6537;704.5164;225.726;96.54318;102.8173;151.599
2439.831;68.33594;547.3283;10.61689;1.06843;95.5981;70.74131;7.388392;98.45354;7.19078;-8.803988;65.36373;32.90774;155.3585;4.02016;98.94886;0.7050349;17.50225;98.07295;0.8034289;10.53659;591.1042;13.8627;38.8069;96.22968;118.0384;-362.2301;85.07615;40.70534;-251.735;-304.5078;50.2333;97.16196;22.28682;21.27637;52.46207;62.21794;105.9536;95.5981;63.68466;94.96601;-68.54617;-76.1401;0.825215;0.9151977;-791.9146;587.3591;701.3203;223.3132;98.35891;104.422;151.4369
2430.125;67.6461;412.8707;5.461206;1.13007;95.22894;71.06239;7.462005;98.5314;7.249274;-3.842012;64.98651;33.02089;152.4711;4.020447;97.56155;0.7563632;17.21069;97.95977;0.8490219;10.60156;428.4413;13.99957;40.97502;96.8843;116.3869;-371.5855;81.09863;39.48352;-252.8689;-304.6444;51.65934;97.25687;19.23671;19.29615;52.41164;62.58014;105.7832;95.22894;48.77014;93.06995;-68.02663;-75.18676;0.85823;0.9672771;-784.9843;582.4279;699.4631;226.7401;98.27553;104.3739;152.7498
2426.697;68.45266;461.3365;9.339183;1.077578;94.87939;70.3991;7.059082;98.21799;6.877358;-18.87108;65.48907;32.10611;157.2853;4.046064;99.07115;0.7008157;17.58451;98.10642;0.8111665;10.48534;511.4642;13.25887;36.85258;95.72119;119.5513;-368.3114;90.5033;39.55018;-246.183;-299.075;49.51871;95.5255;23.58756;26.19103;48.09112;61.74286;106.9981;94.87939;70.75868;97.14286;-67.64417;-77.53815;0.8474337;0.9259838;-787.5515;587.3024;702.0958;227.3745;97.90383;104.466;153.2236
2426.456;67.65173;393.383;5.500684;1.069008;95.72417;71.24049;7.447386;98.59821;7.234669;-2.604693;64.88963;33.03983;158.1115;4.022804;97.85399;0.7181135;17.23647;98.00578;0.8035;10.47391;405.5571;13.97304;39.56374;96.39206;123.8805;-356.1889;85.14568;45.44539;-257.0228;-308.7963;50.60464;97.46963;24.9362;23.53881;57.35819;66.69074;109.2877;95.72417;58.15538;96.58402;-71.32623;-74.62217;0.8067513;0.9153481;-791.0542;584.1838;697.9837;223.9769;102.3935;107.3082;153.7161
2421.88;67.77984;410.407;5.555571;1.074108;95.62216;70.9166;7.360598;98.3422;7.154176;-4.957895;64.93119;32.83207;157.6666;4.0169;97.85781;0.711697;17.29162;97.94865;0.8079075;10.31963;420.019;13.82412;39.40107;96.11089;121.3795;-357.5297;82.01437;43.63102;-253.2963;-305.2708;50.60442;97.21775;23.78102;25.21782;55.86716;64.56792;107.6858;95.62216;90.8318;96.24824;-69.48582;-75.56906;0.8213568;0.9197563;-791.1064;584.857;698.5901;224.264;101.0615;106.135;152.9261
2410.625;67.67836;414.1433;5.458573;1.109164;95.3046;70.8765;7.244389;98.31292;7.03513;-8.01119;64.53272;32.72691;158.6675;4.048123;97.87816;0.7355893;17.14641;97.93414;0.8341777;10.49731;426.9359;13.59286;39.46613;95.85739;121.358;-367.6122;84.17503;41.80394;-250.5733;-302.9751;51.08957;96.84354;22.74398;22.98247;53.6157;63.29244;107.2451;95.3046;90.71941;96.25858;-69.22424;-76.36332;0.8531556;0.950074;-786.2726;582.1628;697.5102;227.5222;100.4585;105.8863;154.1338
2408.758;67.67813;384.0315;5.585202;1.059581;95.54082;71.18415;7.377536;98.55661;7.167456;-2.813454;64.97736;32.95857;158.1803;4.011682;97.69969;0.7098346;17.123;98.00163;0.7958623;10.5443;396.061;13.86684;39.57156;96.57236;123.9458;-352.1621;82.89586;47.39332;-258.8547;-309.8364;50.89086;97.39012;26.43525;25.80437;58.88845;68.79568;110.2064;95.54082;61.99448;97.5037;-71.72107;-74.1525;0.7982657;0.906135;-793.663;581.7244;695.2565;222.7881;103.2845;107.97;153.8212
2406.617;67.76759;382.1185;5.515433;1.035822;95.31504;71.18072;7.316619;98.59897;7.112112;-4.482169;65.09462;32.7756;157.1286;4.010608;97.67812;0.6951867;17.15985;98.03361;0.7792664;10.56788;395.5323;13.75865;38.589;96.53893;119.4278;-347.1392;84.68575;46.31139;-259.3423;-310.4251;50.01831;97.16398;26.01606;25.92865;57.38678;67.91122;109.6348;95.31504;56.14299;97.00533;-70.69646;-74.30624;0.7813873;0.8866871;-795.3931;584.1301;696.1315;222.1207;102.3042;107.0704;153.0864
2401.326;67.96342;296.6823;10.00827;1.041015;95.67174;70.77719;7.259575;98.50158;7.083014;-9.231652;64.82765;32.85442;153.3861;4.02981;99.12554;0.6898516;17.16026;98.07903;0.7858152;15.49235;1183.368;13.80313;37.0233;96.78888;116.0183;-355.9825;81.91438;41.4965;-253.3734;-306.2327;49.20881;97.32501;22.55076;22.97996;52.67821;62.42295;105.0635;95.67174;71.05275;94.62981;-69.54796;-75.83286;0.8034658;0.8944435;-793.8561;587.181;694.4102;219.8285;97.4267;102.6866;148.8049
2401.054;68.5067;495.663;10.00679;1.039824;95.37441;70.63421;7.119369;98.37296;6.929684;-11.4765;65.56084;32.14407;153.6651;4.016462;98.9183;0.6828296;17.24548;98.0842;0.7822623;10.44168;533.9257;13.40836;37.67001;95.9295;116.487;-356.2675;84.54155;39.40962;-252.496;-304.6122;49.37671;96.80836;21.25401;19.97933;50.70383;60.80674;104.6055;95.37441;71.35365;93.80874;-68.52809;-76.4767;0.80587;0.8897852;-795.0353;585.9274;697.7172;221.9468;96.87464;102.9765;150.1257
2388.957;67.80704;411.8367;5.43504;1.036205;95.51985;70.91532;7.165004;98.3394;6.964212;-5.822679;64.94559;32.48252;155.8001;4.017379;97.84883;0.6861883;17.04054;97.92716;0.7795798;10.33037;421.8715;13.49527;38.35403;95.86137;119.8274;-348.9811;81.00182;42.89071;-255.4;-307.3273;49.64267;97.0676;23.66381;23.44287;54.41118;63.79518;106.2959;95.51985;91.55956;95.16459;-69.33814;-75.58875;0.7923133;0.887919;-794.6814;583.9727;695.4329;222.2731;99.75983;104.6857;151.4504
2387.809;67.73727;343.9236;5.531558;1.050136;95.5669;71.08379;7.163572;98.48426;6.962331;-5.52173;64.9432;32.49638;156.5641;4.02405;97.82565;0.6980762;16.99517;98.04317;0.7886382;10.46289;350.9429;13.49807;38.70781;95.89884;122.9021;-351.8427;85.6236;44.42401;-257.5096;-308.4437;49.96714;97.16074;24.81591;23.13429;55.69987;66.21272;108.32;95.5669;44.95024;96.24987;-70.05516;-75.0275;0.7969338;0.89856;-794.3612;582.4839;694.4846;223.4751;101.3812;106.2842;152.8444
2385.722;67.88683;381.1544;5.503661;1.019804;95.23051;71.13469;7.160998;98.55997;6.963173;-5.356497;65.27906;32.32029;156.7917;4.010926;97.66616;0.680452;17.0685;97.97223;0.7681909;10.56712;396.5172;13.50087;37.7322;96.45834;117.9518;-342.8931;85.4298;45.59838;-259.5524;-310.1027;49.34542;97.04731;25.91349;26.06872;56.38929;67.37724;109.2937;95.23051;55.20759;96.8218;-69.45174;-74.5808;0.7715686;0.873088;-797.0468;584.7006;694.7331;221.9178;101.8662;106.6781;152.8027
2385.351;67.70313;355.9813;5.452461;1.053364;95.70818;71.22369;7.207418;98.61417;6.999377;-3.041667;64.98199;32.59422;158.0292;4.012281;97.85329;0.7040623;16.98598;98.01331;0.7909857;10.47337;364.6585;13.57984;39.18129;96.24998;124.0687;-351.7915;85.34171;46.16316;-258.6949;-309.7657;50.29133;97.42314;25.75704;24.39519;57.48888;67.69759;109.5663;95.70818;56.93621;97.01694;-70.86689;-74.47274;0.7938148;0.9016559;-793.3522;581.1969;693.3649;223.7187;102.741;107.5524;153.7993
2377.961;68.67442;454.0958;9.929984;1.000132;94.94534;70.36035;6.892504;98.20426;6.715497;-17.18285;65.83483;31.57059;153.5273;4.023487;98.88125;0.6503237;17.12938;98.0397;0.7552454;10.3807;493.4355;13.00448;35.88268;95.8332;117.6625;-346.6027;89.20448;41.2014;-252.904;-303.8806;48.56837;95.99173;25.48137;29.09303;50.19271;62.94159;106.7192;94.94534;76.45231;96.93317;-67.39817;-76.86179;0.7834011;0.8577213;-798.8347;587.0068;696.6699;220.6286;97.73759;103.5581;150.3202
2376.71;68.26392;499.3773;9.735067;1.011472;95.633;70.84628;7.01672;98.5752;6.835068;-8.304173;65.47912;32.08463;153.674;4.014901;98.93802;0.6675124;17.20032;98.0682;0.7626303;10.58567;531.2285;13.25837;37.00447;96.07417;118.5913;-346.8024;83.51245;41.93174;-256.3082;-307.397;48.5083;96.95875;23.24496;21.72732;52.86295;62.96798;105.8617;95.633;43.57221;94.28467;-68.88473;-75.77714;0.7769912;0.8672438;-798.0953;588.434;696.2855;220.4108;98.25981;104.1173;150.4068
2370.028;67.82398;425.8379;5.500992;1.04826;95.25182;70.87531;7.014243;98.34106;6.814418;-8.357993;64.85197;32.23635;156.9661;4.032139;97.89334;0.6934963;16.90796;97.9199;0.789571;10.39394;441.1388;13.22171;37.84644;95.87025;120.2487;-351.9273;83.75545;42.44965;-254.9267;-306.2697;49.64475;96.80801;23.45949;22.58817;53.44125;63.2883;106.7313;95.25182;91.22231;95.46607;-68.74186;-75.45286;0.804603;0.8987727;-793.4133;581.7911;693.4183;224.4066;99.9009;105.0413;152.7117
2368.696;68.10421;498.9831;9.988272;1.048349;95.08751;70.9207;7.027476;98.66415;6.829835;-9.187984;65.4555;31.99698;156.4295;4.013405;98.81602;0.6969947;17.00185;98.00879;0.7887836;10.4836;538.5911;13.24717;37.92285;96.58967;120.6651;-353.7961;84.608;42.21286;-256.4814;-307.7527;49.84254;96.56436;23.22928;23.03634;53.44335;64.57549;107.7536;95.08751;71.86251;95.64438;-69.29945;-74.85224;0.7998515;0.897141;-794.7546;581.2401;693.297;224.2343;100.0307;106.0687;153.3998
