K5PC5CH.OP;K5PCV5I.PV;K5T4.PV;K5P21.PV;K5T18_2.PV;K5T7.PV;K5P19_2.PV;K5P19_1.PV;K5PC6CH.OP;K5HCV63I.PV;K5HCV62I.PV;K5T9_1.PV;K5T9_2.PV;K5T8_1.PV;K5T8_2.PV;K5T8_3.PV;K5PCV6I.PV;K5T10_1.PV;K5T10_2.PV;K5P18_1.PV;K5P18_2.PV;K5P23.PV;K5P24.PV;K5P20.PV;K5T5_1.PV;K5T5_2.PV;K5T18_1.PV;K5T8_4.PV;K5T8_5.PV;K5T8_6.PV
52.99632;96.77605;133.9702;-501.2698;92.75892;45.53771;-221.418;-280.9921;63.97196;97.48583;0;24.60325;25.38022;61.09479;70.9757;117.1209;95.75198;21.58577;104.7029;-75.59874;-81.47894;1.294286;1.443027;-725.3129;607.7937;737.0858;248.4443;109.8913;117.5873;167.744
53.06498;96.77106;134.4359;-498.994;95.04833;46.67839;-222.977;-281.8707;64.30648;97.51136;0;25.64506;24.20627;61.54677;71.58602;117.6767;95.80904;52.59531;104.6744;-75.98601;-80.22286;1.288446;1.443438;-725.4376;606.9885;735.4639;247.8035;110.6853;118.2074;167.9377
53.25539;96.82864;132.8387;-499.6873;92.28172;44.41206;-223.1017;-281.6704;64.08926;97.47414;0;22.85881;21.81877;60.26996;69.64595;115.9206;95.65205;61.15227;102.4935;-76.50516;-80.85193;1.28583;1.444966;-725.3846;607.5529;737.7582;248.1174;109.3481;117.1371;167.3322
45.07667;96.89228;123.5086;-411.0916;86.42978;42.69745;-244.3804;-298.001;56.00072;97.32187;0;21.96438;21.14713;56.96954;66.20311;110.891;95.39085;67.96628;97.65414;-70.78255;-76.58239;0.9944122;1.121415;-766.2159;590.5095;712.7353;234.4367;104.1135;110.5589;159.4677
40.97502;96.8843;116.3869;-371.5855;81.09863;39.48352;-252.8689;-304.6444;51.65934;97.25687;0;19.23671;19.29615;52.41164;62.58014;105.7832;95.22894;48.77014;93.06995;-68.02663;-75.18676;0.85823;0.9672771;-784.9843;582.4279;699.4631;226.7401;98.27553;104.3739;152.7498
39.03453;96.59716;114.7502;-355.2051;80.36185;38.97664;-256.2904;-307.0074;49.75091;97.27042;0;19.3787;20.11349;51.68181;61.81611;104.8599;95.25393;21.3845;92.47743;-66.39116;-75.0775;0.8052376;0.9064907;-792.5073;579.5924;693.7807;224.7317;97.28607;103.1777;151.3878
36.2478;96.57719;113.7901;-328.9632;80.64419;40.81588;-263.0311;-312.4783;47.4427;97.20747;0;21.13965;20.22598;52.96385;62.36055;105.3091;95.30343;30.50717;92.49481;-66.08915;-73.81671;0.7262362;0.8233196;-803.2705;577.8278;684.8022;220.2734;98.08252;103.2679;150.1653
36.82307;96.48138;114.6655;-338.3582;82.8649;41.26929;-259.2659;-309.8009;48.23235;97.01324;0;22.16045;21.30494;52.63781;62.93991;105.7109;95.16729;40.62644;93.4544;-67.21439;-74.83872;0.7571301;0.8522204;-798.8889;584.3345;693.0048;221.3672;98.40453;103.5987;150.5607
37.7322;96.45834;117.9518;-342.8931;85.4298;45.59838;-259.5524;-310.1027;49.34542;97.04731;0;25.91349;26.06872;56.38929;67.37724;109.2937;95.23051;55.20759;96.8218;-69.45174;-74.5808;0.7715686;0.873088;-797.0468;584.7006;694.7331;221.9178;101.8662;106.6781;152.8027
38.589;96.53893;119.4278;-347.1392;84.68575;46.31139;-259.3423;-310.4251;50.01831;97.16398;0;26.01606;25.92865;57.38678;67.91122;109.6348;95.31504;56.14299;97.00533;-70.69646;-74.30624;0.7813873;0.8866871;-795.3931;584.1301;696.1315;222.1207;102.3042;107.0704;153.0864
39.57156;96.57236;123.9458;-352.1621;82.89586;47.39332;-258.8547;-309.8364;50.89086;97.39012;0;26.43525;25.80437;58.88845;68.79568;110.2064;95.54082;61.99448;97.5037;-71.72107;-74.1525;0.7982657;0.906135;-793.663;581.7244;695.2565;222.7881;103.2845;107.97;153.8212
38.22289;96.64793;122.5426;-337.6966;84.75747;46.94777;-262.6967;-311.8781;49.72723;97.54569;0;26.26166;24.09216;58.36204;68.47697;109.7726;95.75416;66.48905;96.43643;-71.11256;-73.24966;0.7595685;0.8653567;-800.3823;576.239;686.825;221.6438;102.9776;107.5155;153.1533
37.66147;96.68211;118.9756;-336.2019;80.83459;42.59832;-262.2373;-311.7769;48.80198;97.34248;0;22.00957;20.40406;54.74881;64.15738;106.3133;95.49743;66.14414;92.82574;-69.38804;-73.53951;0.7497378;0.8548858;-800.777;577.499;687.8035;221.2985;99.54939;104.6259;150.9893
35.36905;96.59843;116.3459;-324.4236;79.97526;40.10791;-262.9857;-312.5734;46.89466;96.92967;0;20.51046;18.85436;51.63344;61.59808;104.1563;95.08073;62.39564;91.22826;-67.18503;-73.38425;0.7165422;0.8094177;-806.9418;578.2987;683.3951;218.6501;96.80028;101.8874;148.5343
36.42595;96.4169;117.8466;-340.0193;82.04697;39.18899;-257.6402;-308.3255;47.99287;96.71108;0;20.37879;18.96075;50.98716;61.28331;104.3146;94.95628;51.23798;92.11316;-67.51441;-74.99301;0.7632785;0.8533058;-799.8397;584.7068;692.3345;220.9674;96.85291;102.2424;149.4466
34.19679;95.80092;117.3546;-325.6824;83.7934;39.84954;-260.0711;-310.555;46.53955;96.25045;0;21.789;20.59395;49.84691;61.06953;104.2208;94.81712;42.05631;92.4031;-67.05569;-74.34471;0.7221904;0.8040743;-806.233;580.357;682.7188;218.5839;96.39789;101.5055;148.4539
35.38226;95.52285;118.5545;-335.2729;84.9436;40.62532;-258.3578;-308.7549;47.55611;96.31493;0;22.67806;21.48272;50.69069;62.04045;104.6759;95.06731;39.17282;93.37101;-68.26198;-75.29722;0.7514307;0.8363534;-801.4638;585.4839;690.7155;219.3794;97.35426;102.3315;149.1686
36.88359;95.55518;120.127;-342.095;84.84446;42.31206;-258.0988;-308.5504;48.53782;96.74497;0;23.46767;21.70359;53.05182;63.7509;105.8932;95.3251;39.58965;94.24794;-69.26649;-75.42659;0.7690055;0.8616209;-798.7379;585.4523;693.0939;220.3965;98.84589;103.7511;150.2944
38.70781;95.89884;122.9021;-351.8427;85.6236;44.42401;-257.5096;-308.4437;49.96714;97.16074;0;24.81591;23.13429;55.69987;66.21272;108.32;95.5669;44.95024;96.24987;-70.05516;-75.0275;0.7969338;0.89856;-794.3612;582.4839;694.4846;223.4751;101.3812;106.2842;152.8444
39.18129;96.24998;124.0687;-351.7915;85.34171;46.16316;-258.6949;-309.7657;50.29133;97.42314;0;25.75704;24.39519;57.48888;67.69759;109.5663;95.70818;56.93621;97.01694;-70.86689;-74.47274;0.7938148;0.9016559;-793.3522;581.1969;693.3649;223.7187;102.741;107.5524;153.7993
39.56374;96.39206;123.8805;-356.1889;85.14568;45.44539;-257.0228;-308.7963;50.60464;97.46963;0;24.9362;23.53881;57.35819;66.69074;109.2877;95.72417;58.15538;96.58402;-71.32623;-74.62217;0.8067513;0.9153481;-791.0542;584.1838;697.9837;223.9769;102.3935;107.3082;153.7161
42.59916;96.38216;126.2537;-388.2331;87.94794;44.96575;-249.0859;-302.1918;53.53995;97.38544;0;24.9247;23.28438;57.55648;66.89505;110.1378;95.65887;61.80501;97.69738;-72.58311;-76.41297;0.9097413;1.027023;-776.421;591.8496;710.7166;228.6273;103.3751;108.894;155.8943
43.66445;96.39191;127.437;-400.5621;88.77179;45.31879;-246.1424;-300.0032;54.66002;97.42643;0;24.99864;23.00804;58.15913;67.32925;111.0174;95.76263;62.46776;98.43298;-72.76483;-76.52159;0.9501896;1.071973;-770.8814;595.1594;715.2402;230.5382;104.2902;110.0291;157.2463
38.71823;96.40039;122.9588;-353.2869;83.57394;44.5032;-256.1431;-307.805;50.16341;97.20897;0;24.06655;24.0712;56.17784;65.45383;108.6299;95.52275;64.14617;96.00853;-70.17233;-74.22852;0.8099816;0.9097052;-793.429;579.2371;689.6631;224.4056;101.6891;106.7777;153.5572
35.48668;96.38095;118.7701;-325.437;75.8045;42.78708;-263.4182;-313.5573;47.29741;96.71885;0;22.42243;23.11116;54.64888;63.14042;105.2614;95.12183;63.03657;93.10823;-69.43764;-73.12413;0.717585;0.8120268;-805.004;574.3214;678.4771;219.275;98.76101;103.5431;149.8162
33.40635;96.34379;116.6491;-311.1701;74.47251;42.07484;-265.9705;-315.7849;45.72509;96.49602;0;21.96208;22.38169;53.43688;62.10903;103.9402;95.01558;62.82083;92.05281;-69.09127;-72.6721;0.6796317;0.7680829;-811.5377;576.4626;675.0196;216.3869;97.28181;101.9195;147.903
32.72235;96.31584;116.5236;-306.3342;74.17235;42.17268;-267.1313;-316.2032;45.09465;96.49293;0;22.39338;22.55848;52.68509;61.75222;104.0848;95.03896;69.8777;91.81023;-68.82743;-72.40848;0.6671581;0.7542275;-813.5749;577.2021;674.0147;215.921;96.88065;101.5481;147.5403
28.83277;96.30418;113.6967;-276.5729;72.56252;42.69724;-275.3746;-322.3815;41.9767;96.51706;0;23.16286;22.74337;51.69746;61.31669;103.41;95.08117;70.02659;90.53878;-66.4362;-69.68613;0.5778708;0.6576825;-827.4182;566.4919;657.5728;210.3024;95.73188;100.0515;145.0556
25.54959;96.27467;110.2635;-252.7853;72.82407;42.04847;-281.0396;-326.6429;39.24564;96.58575;0;23.48087;22.12008;49.7585;59.75573;101.5101;95.09186;73.04214;88.52675;-64.13794;-68.05803;0.5052614;0.5756159;-838.7809;560.1978;647.1981;203.8302;93.18359;97.34921;140.9064
25.92811;96.13395;111.1924;-256.9892;74.67518;42.85065;-279.5085;-325.6472;39.68755;96.58087;0;24.61901;23.8667;50.63739;61.07574;102.1068;94.97952;75.29111;89.4118;-64.11211;-68.50861;0.5195217;0.5889614;-837.1661;564.3321;651.4927;203.7704;93.59368;97.80985;141.1289
25.49537;95.87923;110.4531;-253.6989;71.53773;42.71238;-280.176;-326.04;39.15641;96.46402;0;24.12147;23.25114;50.4853;60.69533;101.5972;94.87875;78.48635;88.86181;-64.42358;-68.78606;0.5074882;0.5735261;-839.6367;562.0529;648.1334;202.9814;92.97238;97.23328;140.5605
25.27147;95.76997;110.5559;-253.6189;73.40042;42.65502;-280.2044;-325.9557;39.18575;96.46085;0;24.43384;23.90099;50.38503;61.09899;102.0049;94.87848;82.8196;89.31921;-64.11311;-68.80238;0.5079024;0.5749753;-839.795;562.1282;648.2133;202.7271;93.21183;97.3923;140.624
25.98711;95.72508;110.5474;-255.5243;72.13226;42.98868;-279.6049;-325.7191;39.43722;96.68842;0;24.25155;23.66417;51.24641;61.29913;101.9252;94.98383;82.9645;89.38494;-64.19637;-68.88068;0.5123249;0.5810962;-837.5983;562.6447;649.0899;202.5249;93.36507;97.28955;140.466
27.01685;95.74239;110.9965;-261.9948;72.36212;42.67924;-277.4061;-323.9992;40.18011;96.68773;0;23.9535;23.49589;51.1179;61.11861;101.8677;94.97018;84.13148;89.59846;-64.57372;-69.73205;0.5316395;0.5994245;-834.913;566.1927;654.1591;203.6089;93.34325;97.49295;141.0175
28.10583;95.71308;111.9093;-268.3118;73.67983;42.77948;-276.3586;-323.0064;41.04123;96.67264;0;24.20901;23.72633;51.29002;61.46097;102.2151;95.00652;86.10572;89.92771;-65.17023;-70.14937;0.5523363;0.621832;-833.1533;568.4445;657.041;204.778;93.77812;98.09644;141.7265
28.87433;95.68834;112.5829;-273.0533;76.16473;42.56701;-275.728;-322.1073;41.67248;96.7449;0;24.13858;22.49902;51.25413;61.30132;102.5389;95.11748;86.63148;89.99905;-65.65289;-70.40133;0.5697276;0.6396202;-831.5939;568.188;656.7729;206.5268;94.01513;98.52821;142.5151
31.42975;95.721;115.2377;-292.2982;78.34766;42.34229;-271.4562;-318.5647;43.73206;96.90762;0;23.61538;21.97055;51.55241;61.64073;103.9225;95.31507;86.62988;91.20462;-66.64075;-71.71126;0.6276761;0.7066378;-822.0022;574.4487;667.9471;211.4939;95.80512;100.6303;145.5923
31.36054;95.88962;113.9927;-291.4142;75.98765;40.51111;-271.8297;-318.7984;43.4689;97.03551;0;21.71863;20.62829;50.3772;60.20862;102.7507;95.35973;75.63802;89.94871;-64.95642;-71.27522;0.6229768;0.7037506;-820.7094;573.7513;667.5779;211.6814;94.84093;99.68436;144.8884
35.75674;95.87433;119.2587;-336.3849;80.94609;42.06482;-259.7283;-309.537;47.80347;96.90079;0;23.47574;22.88535;52.54048;62.49455;105.3791;95.23244;82.01917;93.42611;-67.92931;-74.09614;0.7593341;0.8539572;-799.6718;583.9886;688.8809;219.3949;98.03481;103.1698;149.0631
38.96835;95.90747;124.9862;-370.436;86.39276;43.51366;-251.5153;-303.2056;51.34295;96.62595;0;24.42815;23.55507;54.52388;65.43382;109.5204;95.03735;85.40832;97.39355;-70.32828;-75.9643;0.863307;0.9660742;-784.413;587.9185;704.5169;228.5345;102.2725;107.9089;155.768
47.11663;95.8811;130.9191;-458.2403;89.96778;43.34533;-229.3889;-286.7434;58.85749;96.66589;0;23.58215;21.51561;56.96706;66.87045;112.8108;95.0667;87.7432;100.9112;-75.2973;-80.37226;1.141577;1.270534;-745.1625;606.0927;733.9661;241.858;105.7454;112.9801;162.5846
47.80204;95.89194;132.1942;-463.5777;90.1197;42.91093;-227.5404;-285.217;59.39884;96.72745;0;23.04704;21.76439;56.83126;66.70698;113.0207;95.16622;92.0877;101.4007;-75.20317;-80.55037;1.161212;1.290856;-742.8526;605.3478;733.6957;243.298;106.0387;113.42;163.5674
46.26105;95.87956;129.8725;-443.9597;89.31502;41.97807;-231.5619;-288.3802;57.69344;96.79214;0;22.39144;22.07509;55.81584;65.41809;111.9486;95.29553;93.52634;100.4519;-73.63496;-79.72553;1.099144;1.218998;-751.856;600.2525;726.696;240.3419;104.8785;111.9558;162.0488
40.32197;95.87243;122.5931;-378.2816;84.13151;41.13577;-247.224;-300.717;52.00129;96.76806;0;21.958;22.23512;53.50119;63.04897;107.4564;95.2175;88.68904;96.70931;-69.95914;-76.81013;0.8873043;0.986045;-781.8191;584.3914;702.2123;229.4873;100.5706;106.2509;154.9481
40.4725;95.87304;122.2988;-377.8713;84.51565;41.38131;-247.4934;-300.9548;52.02194;96.84288;0;22.25324;22.58882;53.77456;63.22472;107.626;95.26577;89.20171;96.88072;-69.56189;-76.79883;0.8875773;0.9872918;-781.9124;584.2496;701.8101;229.4148;100.7485;106.3997;154.9796
39.46613;95.85739;121.358;-367.6122;84.17503;41.80394;-250.5733;-302.9751;51.08957;96.84354;0;22.74398;22.98247;53.6157;63.29244;107.2451;95.3046;90.71941;96.25858;-69.22424;-76.36332;0.8531556;0.950074;-786.2726;582.1628;697.5102;227.5222;100.4585;105.8863;154.1338
37.84644;95.87025;120.2487;-351.9273;83.75545;42.44965;-254.9267;-306.2697;49.64475;96.80801;0;23.45949;22.58817;53.44125;63.2883;106.7313;95.25182;91.22231;95.46607;-68.74186;-75.45286;0.804603;0.8987727;-793.4133;581.7911;693.4183;224.4066;99.9009;105.0413;152.7117
32.17711;95.88239;115.3848;-298.4653;79.89172;43.479;-269.8396;-317.392;44.6694;96.82732;0;24.80156;22.96739;52.4422;63.00153;105.1575;95.13705;90.90981;93.0257;-66.26517;-72.09827;0.6460157;0.7283043;-818.4977;571.8922;669.0017;214.2885;97.87888;102.1538;147.844
33.96859;95.88319;116.1975;-311.1696;79.10628;43.55114;-266.2229;-314.6539;45.98883;96.84759;0;24.62156;22.4214;53.44727;63.23924;104.8575;95.19625;90.72232;92.79956;-68.06059;-73.38847;0.6835613;0.7704545;-812.215;581.5963;681.7993;214.8529;97.94549;102.2648;147.6731
35.06376;95.86596;116.2096;-319.3498;78.90215;42.56805;-262.8956;-312.7226;46.76186;96.92332;0;23.70689;22.81737;52.79946;62.48888;104.3985;95.37217;89.73193;92.94927;-68.29281;-74.25208;0.7069696;0.7930199;-808.3105;583.9296;685.825;215.8672;97.71322;102.1048;147.8849
38.35403;95.86137;119.8274;-348.9811;81.00182;42.89071;-255.4;-307.3273;49.64267;97.0676;0;23.66381;23.44287;54.41118;63.79518;106.2959;95.51985;91.55956;95.16459;-69.33814;-75.58875;0.7923133;0.887919;-794.6814;583.9727;695.4329;222.2731;99.75983;104.6857;151.4504
39.40107;96.11089;121.3795;-357.5297;82.01437;43.63102;-253.2963;-305.2708;50.60442;97.21775;0;23.78102;25.21782;55.86716;64.56792;107.6858;95.62216;90.8318;96.24824;-69.48582;-75.56906;0.8213568;0.9197563;-791.1064;584.857;698.5901;224.264;101.0615;106.135;152.9261
36.57661;96.28555;118.8125;-331.7246;77.59631;43.14702;-259.859;-310.2659;48.14526;97.03653;0;22.68804;24.96939;55.34305;63.72757;106.6796;95.43513;90.1206;95.02034;-68.13369;-74.24584;0.7428812;0.8344712;-803.3353;578.3689;686.874;221.6769;99.94204;104.7441;151.4327
37.33043;96.31777;119.7694;-337.8137;78.06613;43.68179;-258.4808;-309.4343;48.86574;97.06862;0;23.20654;25.04356;56.01691;64.29996;107.3227;95.49868;91.65355;95.59843;-68.5625;-74.47628;0.7614523;0.8551832;-800.5898;577.9052;688.7402;222.8757;100.6244;105.5216;152.1769
37.21236;96.44441;119.0173;-337.2969;76.95855;43.93176;-259.0313;-309.8133;48.86652;97.06281;0;23.20468;24.50307;56.28801;64.41786;106.8343;95.61641;92.38137;94.88383;-68.66016;-74.07897;0.7597278;0.8556491;-800.4226;579.624;688.8223;221.4233;100.3172;105.2659;151.4241
37.08659;96.42914;118.5101;-336.9686;75.89814;43.8073;-259.3433;-310.1017;48.83411;96.96413;0;23.01737;23.81233;55.80693;64.07423;106.4699;95.46078;92.38509;94.38416;-68.87272;-73.88166;0.7593666;0.8569793;-800.3635;579.8345;688.814;221.2884;99.90976;104.8732;151.1084
36.84088;96.40015;118.5228;-334.7137;77.2832;43.67996;-260.0209;-310.2488;48.67772;96.88439;0;23.38505;24.44726;55.10186;63.70818;106.4616;95.37554;92.64681;94.1743;-69.314;-73.96917;0.7523739;0.8511948;-801.3467;579.5367;688.0458;221.101;99.86667;104.7601;151.0397
33.93472;96.33175;117.2373;-307.0591;79.70918;45.14201;-266.7369;-315.1614;46.16918;97.05152;0;25.54883;24.54847;55.27406;64.66988;106.7823;95.43544;93.01054;94.44852;-67.94777;-72.7794;0.6759943;0.7629084;-813.9371;574.485;674.8057;217.3082;99.69399;104.0516;149.6763
33.82248;96.29845;117.3095;-306.5065;79.88044;45.11267;-266.4357;-315.3767;46.07376;97.03156;0;25.57625;24.16317;55.60814;64.8192;106.8612;95.37202;93.02364;94.64364;-68.36237;-72.82137;0.6760803;0.762948;-813.8314;577.3361;677.6287;217.0504;99.67205;103.9851;149.5606
33.68279;96.3006;117.5042;-306.2505;80.50156;45.40194;-266.542;-315.2074;45.99469;97.11098;0;25.84892;24.93768;55.67659;65.30885;107.0553;95.40088;93.35352;94.83636;-68.59245;-72.98264;0.6752848;0.7642158;-813.7296;577.7311;677.8435;217.0065;99.94418;104.186;149.6711
33.38612;96.28795;117.1537;-306.298;80.49064;44.95313;-266.127;-314.8113;45.85017;96.98979;0;25.6243;24.73133;55.01789;64.8381;106.7196;95.3206;92.94937;94.55048;-68.42665;-73.05116;0.6769554;0.7637205;-813.717;578.6777;678.4529;216.8953;99.56817;103.8871;149.429
33.25313;96.2843;117.2377;-306.5566;80.47744;44.77445;-265.8409;-314.6771;45.77393;96.94262;0;25.59253;24.58385;54.88773;64.61837;106.7424;95.26511;92.96518;94.62846;-68.04845;-72.98355;0.6783773;0.7640107;-813.6609;578.9767;678.8871;217.149;99.48669;103.8382;149.5026
32.90705;96.27695;117.205;-302.634;80.10125;45.29783;-267.7749;-316.0378;45.42057;97.09579;0;25.88061;24.84278;55.03112;65.15824;107.1731;95.38406;93.61079;94.61106;-67.48932;-72.32182;0.6667501;0.7537888;-815.4399;576.3058;674.607;217.001;99.8765;104.1379;149.6594
31.833;96.27595;114.755;-296.5641;76.20879;43.63995;-268.8632;-316.9579;44.49977;96.86402;0;24.04517;23.64379;53.61235;62.68309;105.0277;95.35741;91.3986;92.59914;-66.85398;-71.86654;0.6449496;0.7299024;-818.3569;572.5627;667.1817;214.9969;98.01228;102.2629;147.6954
30.21828;96.23937;112.3144;-287.9799;71.99249;42.38327;-269.9579;-318.3916;43.29536;96.4697;0;22.76711;23.21;52.30444;61.23911;103.268;95.1294;84.64066;91.07623;-66.20541;-71.22888;0.6180282;0.6979919;-822.6872;570.9168;664.0824;212.601;96.11859;100.4239;145.823
30.02334;96.26389;111.5524;-285.489;73.74758;41.96262;-269.6386;-318.2399;42.98117;96.56668;0;23.12098;23.6095;51.7551;60.67471;102.5975;95.27136;72.31094;90.75005;-65.60978;-71.24501;0.6114886;0.6876991;-823.709;574.9978;668.2631;210.22;95.43026;99.5785;144.233
